iteration,mean_value,std_value
0,0.0006302859983406961,
1,0.00010550569277256729,
2,0.0008145952015183866,
3,0.0001340819289907813,
4,0.0006635679164901376,
5,6.112752453191206e-05,
6,5.229400267126039e-05,
7,5.150661672814749e-05,
8,6.590916746063158e-05,
9,5.150661672814749e-05,
