iteration,mean_value,std_value
0,5.960000000000001,0.32526911934580743
1,6.335000000000002,0.5727564927610939
2,7.235000000000007,0.07778174593051856
3,6.164999999999999,0.23334523779155855
4,6.939999999999998,0.9475230867899758
5,5.7650000000000015,0.1767766952966369
6,5.909999999999996,0.12727922061358463
7,5.739999999999995,0.11313708498984362
8,5.740000000000002,0.014142135623728137
9,5.880000000000003,0.21213203435596223
10,5.685000000000002,0.06363961030679074
11,5.685000000000002,0.06363961030679074
12,5.685000000000002,0.06363961030679074
13,5.615000000000002,0.03535533905932662
14,5.6499999999999995,0.014142135623728137
15,5.6499999999999995,0.014142135623728137
16,5.585000000000001,0.07778174593052077
17,5.6400000000000015,0.0
18,5.825000000000003,0.2616295090390249
19,5.755000000000003,0.1626345596729078
