optimizer,DeepAR,FCNET,XGBoost,nas_bench102
RS,0.0,0.0,0.0,0.0
CTS (ours),0.3782051300393554,0.825542777049277,0.015180397235624695,0.8763945631901762
CTS (sklearn),0.5415205620885529,0.7905639629129502,0.17016965194404957,0.8594437325840231
CTS (pytorch),0.5679471641994224,0.7636141142315529,0.1409468568270813,0.9566714564455673
GCP + prior (ours),0.7337107639199205,0.9420258762542274,0.37196239192883085,0.9403465654625509
GCP+prior (sklearn),0.9330249426907186,0.7804955588071038,-0.012777264945199526,0.9693063800941564
GCP+prior (pytorch),0.3891104575663905,0.7691052721062924,0.1372447869748955,0.9780037136618424
