seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.04454800000000003,XGboost,w6a,GP + prior,0.0890850690208284
0,1,0.060274999999999974,XGboost,w6a,GP + prior,0.0890850690208284
0,2,0.048899000000000026,XGboost,w6a,GP + prior,0.0890850690208284
0,3,0.044763,XGboost,w6a,GP + prior,0.0890850690208284
0,4,0.03840699999999997,XGboost,w6a,GP + prior,0.07680292163505965
0,5,0.03806200000000004,XGboost,w6a,GP + prior,0.07611291335496043
0,6,0.04092200000000002,XGboost,w6a,GP + prior,0.07611291335496043
0,7,0.039019000000000026,XGboost,w6a,GP + prior,0.07611291335496043
0,8,0.03812700000000002,XGboost,w6a,GP + prior,0.07611291335496043
0,9,0.04375499999999999,XGboost,w6a,GP + prior,0.07611291335496043
0,10,0.042096000000000015,XGboost,w6a,GP + prior,0.07611291335496043
0,11,0.04137199999999997,XGboost,w6a,GP + prior,0.07611291335496043
0,12,0.03919499999999998,XGboost,w6a,GP + prior,0.07611291335496043
0,13,0.042078999999999984,XGboost,w6a,GP + prior,0.07611291335496043
0,14,0.049800999999999984,XGboost,w6a,GP + prior,0.07611291335496043
0,15,0.05050600000000005,XGboost,w6a,GP + prior,0.07611291335496043
0,16,0.04019600000000001,XGboost,w6a,GP + prior,0.07611291335496043
0,17,0.035301999999999945,XGboost,w6a,GP + prior,0.07059284711416536
0,18,0.03734499999999996,XGboost,w6a,GP + prior,0.07059284711416536
0,19,0.038628,XGboost,w6a,GP + prior,0.07059284711416536
0,20,0.036107,XGboost,w6a,GP + prior,0.07059284711416536
0,21,0.036277,XGboost,w6a,GP + prior,0.07059284711416536
0,22,0.035985000000000045,XGboost,w6a,GP + prior,0.07059284711416536
0,23,0.03311200000000003,XGboost,w6a,GP + prior,0.06621279455353479
0,24,0.03342199999999995,XGboost,w6a,GP + prior,0.06621279455353479
0,25,0.03437100000000004,XGboost,w6a,GP + prior,0.06621279455353479
0,26,0.033756000000000015,XGboost,w6a,GP + prior,0.06621279455353479
0,27,0.03338399999999997,XGboost,w6a,GP + prior,0.06621279455353479
0,28,0.033744,XGboost,w6a,GP + prior,0.06621279455353479
0,29,0.036529000000000034,XGboost,w6a,GP + prior,0.06621279455353479
0,30,0.03959199999999996,XGboost,w6a,GP + prior,0.06621279455353479
0,31,0.08734900000000001,XGboost,w6a,GP + prior,0.06621279455353479
0,32,0.036744,XGboost,w6a,GP + prior,0.06621279455353479
0,33,0.038190999999999975,XGboost,w6a,GP + prior,0.06621279455353479
0,34,0.03802799999999995,XGboost,w6a,GP + prior,0.06621279455353479
0,35,0.03058099999999997,XGboost,w6a,GP + prior,0.061150733808805736
0,36,0.03482700000000005,XGboost,w6a,GP + prior,0.061150733808805736
0,37,0.04337400000000002,XGboost,w6a,GP + prior,0.061150733808805736
0,38,0.036490000000000015,XGboost,w6a,GP + prior,0.061150733808805736
0,39,0.03325699999999998,XGboost,w6a,GP + prior,0.061150733808805736
0,40,0.03100400000000003,XGboost,w6a,GP + prior,0.061150733808805736
0,41,0.03398000000000001,XGboost,w6a,GP + prior,0.061150733808805736
0,42,0.038051999999999975,XGboost,w6a,GP + prior,0.061150733808805736
0,43,0.031241999999999995,XGboost,w6a,GP + prior,0.061150733808805736
0,44,0.037270000000000025,XGboost,w6a,GP + prior,0.061150733808805736
0,45,0.034877999999999965,XGboost,w6a,GP + prior,0.061150733808805736
0,46,0.03405400000000003,XGboost,w6a,GP + prior,0.061150733808805736
0,47,0.04542199999999996,XGboost,w6a,GP + prior,0.061150733808805736
0,48,0.03330299999999997,XGboost,w6a,GP + prior,0.061150733808805736
